Source,Target,Weight,Type
exercise,hormonal,2,Undirected
exercise,quality,3,Undirected
exercise,relaxation,10,Undirected
exercise,stress,9,Undirected
exercise,treatment_outcome,16,Undirected
hormonal,physical_therapy,2,Undirected
hormonal,treatment_outcome,5,Undirected
physical_therapy,relaxation,2,Undirected
quality,stress,12,Undirected
stress,treatment_outcome,19,Undirected
comorbidity,monoclonal_antibodies,3,Undirected
monoclonal_antibodies,trigeminal,9,Undirected
calcitonin_gene_related,calcitonin_gene_related_peptid,27,Undirected
calcitonin_gene_related,monoclonal_antibodies,71,Undirected
calcitonin_gene_related_peptid,comorbidity,2,Undirected
calcitonin_gene_related_peptid,disability,3,Undirected
calcitonin_gene_related_peptid,erenumab,10,Undirected
calcitonin_gene_related_peptid,fremanezumab,6,Undirected
calcitonin_gene_related_peptid,galcanezumab,7,Undirected
calcitonin_gene_related_peptid,inflammatory,2,Undirected
calcitonin_gene_related_peptid,monoclonal_antibodies,8,Undirected
disability,monoclonal_antibodies,24,Undirected
erenumab,inflammatory,3,Undirected
erenumab,monoclonal_antibodies,40,Undirected
fibromyalgia,inflammatory,4,Undirected
fremanezumab,inflammatory,4,Undirected
fremanezumab,monoclonal_antibodies,36,Undirected
galcanezumab,inflammatory,2,Undirected
galcanezumab,monoclonal_antibodies,33,Undirected
inflammatory,monoclonal_antibodies,4,Undirected
anxiety,chronic_pain,13,Undirected
anxiety,fibromyalgia,16,Undirected
chronic_pain,depression,12,Undirected
chronic_pain,stress,9,Undirected
fibromyalgia,stress,5,Undirected
comorbidity,post_traumatic_stress_disorder,2,Undirected
comorbidity,ptsd,8,Undirected
depression,post_traumatic_stress_disorder,2,Undirected
depression,ptsd,7,Undirected
depression,stress_disorders,9,Undirected
post_traumatic_stress_disorder,stress,2,Undirected
post_traumatic_stress_disorder,stress_disorders,2,Undirected
ptsd,stress,9,Undirected
ptsd,stress_disorders,8,Undirected
stress,stress_disorders,12,Undirected
disability,electric_stimulation_therapy,7,Undirected
disability,nerve_stimulation,11,Undirected
disability,occipital_nerve,14,Undirected
disability,occipital_nerve_stimulation,4,Undirected
electric_stimulation_therapy,nerve_stimulation,18,Undirected
electric_stimulation_therapy,occipital_nerve,13,Undirected
electric_stimulation_therapy,occipital_nerve_stimulation,7,Undirected
nerve_stimulation,occipital_nerve_stimulation,8,Undirected
occipital_nerve,occipital_nerve_stimulation,11,Undirected
occipital_nerve_stimulation,quality_life,4,Undirected
cardiovascular,stroke,18,Undirected
absenteeism,cost_illness,13,Undirected
absenteeism,disability,13,Undirected
absenteeism,headache_days,7,Undirected
absenteeism,lasmiditan,2,Undirected
absenteeism,quality_life,18,Undirected
absenteeism,triptans,2,Undirected
cost_illness,headache_days,17,Undirected
cost_illness,interictal_burden,2,Undirected
cost_illness,triptans,3,Undirected
disability,interictal_burden,3,Undirected
disability,triptans,20,Undirected
headache_days,interictal_burden,2,Undirected
headache_days,triptans,11,Undirected
interictal_burden,quality_life,5,Undirected
lasmiditan,triptans,9,Undirected
quality_life,triptans,29,Undirected
topiramate,vestibular,3,Undirected
topiramate,vestibular_migraine,3,Undirected
exercise,vestibular,7,Undirected
exercise,vestibular_migraine,6,Undirected
exercise,vestibular_rehabilitation,2,Undirected
quality_life,vestibular_rehabilitation,2,Undirected
vestibular,vestibular_rehabilitation,3,Undirected
vestibular_migraine,vestibular_rehabilitation,3,Undirected
comorbidity,emergency_department,6,Undirected
emergency_department,epilepsy,4,Undirected
quality_life,yoga,4,Undirected
behavior_therapy,behavioral_therapy,2,Undirected
behavior_therapy,combined_modality_therapy,4,Undirected
behavior_therapy,comorbidity,4,Undirected
behavior_therapy,medication_overuse_headache,2,Undirected
behavioral_therapy,combined_modality_therapy,2,Undirected
combined_modality_therapy,medication_overuse_headache,4,Undirected
combined_modality_therapy,physiotherapy,2,Undirected
circadian_rhythm,quality_life,2,Undirected
daily_functioning,quality_life,5,Undirected
insomnia,sleep_apnea,5,Undirected
bipolar,disability,4,Undirected
insomnia,stress,7,Undirected
sleep_apnea,stress,4,Undirected
calcitonin_gene_related_peptid,calcitonin_gene_related_peptid,10,Undirected
calcitonin_gene_related_peptid,gepants,16,Undirected
calcitonin_gene_related_peptid,gepants,9,Undirected
tension_type_headache,treatment,2,Undirected
ketogenic_diet,treatment_outcome,4,Undirected
moh,quality_life,15,Undirected
anxiety,triptans,9,Undirected
depression,triptans,13,Undirected
epilepsy,hypertension,9,Undirected
epilepsy,triptans,2,Undirected
absenteeism,burden,6,Undirected
absenteeism,cost,2,Undirected
burden,cost,3,Undirected
burden,cost_illness,11,Undirected
burden,disability,9,Undirected
burden,quality,2,Undirected
burden,quality_life,18,Undirected
cost,cost_illness,3,Undirected
cost,disability,2,Undirected
cost,quality_life,3,Undirected
cost_illness,disability_adjusted_life_years,2,Undirected
cost_illness,quality,3,Undirected
disability,disability_adjusted_life_years,3,Undirected
disability_adjusted_life_years,quality_life,2,Undirected
anti_inflammatory_agents,disability,5,Undirected
anti_inflammatory_agents,quality_life,7,Undirected
anti_inflammatory_agents,triptans,21,Undirected
anxiety,parkinson,4,Undirected
anxiety,stroke,10,Undirected
comorbidity,parkinson,7,Undirected
parkinson,stroke,5,Undirected
acupuncture,sham_acupuncture,5,Undirected
anxiety,sham_acupuncture,2,Undirected
depression,sham_acupuncture,2,Undirected
comorbidity,sleep_quality,6,Undirected
comorbidity,oxidative_stress,3,Undirected
oxidative_stress,stress,15,Undirected
comorbidity,cytokines,2,Undirected
comorbidity,inflammatory_bowel_diseases,2,Undirected
cytokines,depression,5,Undirected
cytokines,stress,3,Undirected
depression,inflammatory_bowel_diseases,3,Undirected
inflammatory,inflammatory_bowel_diseases,3,Undirected
estrogen,estrogens,6,Undirected
estrogen,progesterone,3,Undirected
estrogens,hormonal,5,Undirected
estrogens,progesterone,2,Undirected
hormonal,progesterone,3,Undirected
pharmacotherapy,quality_life,2,Undirected
stress,vascular,21,Undirected
asthma,fibromyalgia,2,Undirected
asthma,inflammatory,3,Undirected
bipolar,fibromyalgia,2,Undirected
bipolar,inflammatory,2,Undirected
comorbidity,quality,3,Undirected
behavior_therapy,quality_life,4,Undirected
burden,comorbidity,2,Undirected
burden,headache_days,4,Undirected
anxiety,calcitonin_gene_related,8,Undirected
anxiety,cost_illness,10,Undirected
anxiety,interictal_burden,3,Undirected
calcitonin_gene_related,interictal_burden,2,Undirected
anxiety,hospitalization,8,Undirected
hospitalization,quality_life,10,Undirected
hospitalization,stress,3,Undirected
quality_life,tension_type_headache,8,Undirected
relaxation,tension_type_headache,2,Undirected
relaxation_therapy,stress,2,Undirected
stress,tension_type_headache,3,Undirected
cost_illness,inflammatory,2,Undirected
cytokines,disability,2,Undirected
disability,epilepsy,11,Undirected
epilepsy,headache_days,2,Undirected
calcitonin_gene_related_peptid,treatment_outcome,31,Undirected
anxiety,stigma,9,Undirected
comorbidity,stigma,4,Undirected
comorbidity,trigeminal_neuralgia,2,Undirected
trigeminal,trigeminal_neuralgia,5,Undirected
trigeminal,tth,3,Undirected
cost_illness,depression,12,Undirected
cost_illness,stress,3,Undirected
exercise,insomnia,2,Undirected
patent_foramen_ovale,quality_life,3,Undirected
patent_foramen_ovale,treatment_outcome,19,Undirected
pfo_closure,quality_life,2,Undirected
pfo_closure,treatment_outcome,14,Undirected
stroke,treatment_outcome,17,Undirected
disability,propranolol,8,Undirected
disability,vestibular,9,Undirected
disability,vestibular_diseases,2,Undirected
disability,vestibular_migraine,5,Undirected
propranolol,treatment_outcome,12,Undirected
quality_life,vestibular_diseases,2,Undirected
treatment_outcome,vestibular,10,Undirected
treatment_outcome,vestibular_migraine,8,Undirected
vestibular,vestibular_diseases,8,Undirected
vestibular_diseases,vestibular_migraine,8,Undirected
behavior_therapy,treatment_outcome,4,Undirected
manual_therapy,quality_life,6,Undirected
botulinum,disability,25,Undirected
botulinum_toxins,disability,24,Undirected
disability,topiramate,13,Undirected
irritable_bowel,quality_life,3,Undirected
irritable_bowel_syndrome,quality_life,2,Undirected
anxiety,topiramate,8,Undirected
anxiety,valproate,3,Undirected
comorbidity,hospitalization,8,Undirected
comorbidity,topiramate,7,Undirected
comorbidity,valproate,4,Undirected
depression,hospitalization,6,Undirected
depression,topiramate,7,Undirected
depression,valproate,4,Undirected
hospitalization,treatment_outcome,6,Undirected
hospitalization,valproate,2,Undirected
treatment_outcome,valproate,7,Undirected
alzheimer,comorbidity,3,Undirected
comorbidities,epilepsy,5,Undirected
cardiovascular,inflammatory,4,Undirected
anxiety,social_stigma,4,Undirected
depression,social_stigma,4,Undirected
depression,stigma,7,Undirected
epilepsy,stress,7,Undirected
social_stigma,stress,3,Undirected
stigma,stress,3,Undirected
epilepsy,trigeminal,4,Undirected
epilepsy,tth,2,Undirected
acupuncture,headache_days,13,Undirected
acupuncture,vascular,8,Undirected
headache_days,vascular,5,Undirected
anxiety,headache_related_disability,2,Undirected
anxiety,ptsd,6,Undirected
anxiety,stress_disorders,6,Undirected
depression,headache_related_disability,3,Undirected
disability,ptsd,3,Undirected
disability,stress_disorders,3,Undirected
disability_evaluation,headache_related_disability,4,Undirected
headache_related_disability,stress,3,Undirected
acupuncture,acupuncture_points,35,Undirected
acupuncture_points,quality_life,7,Undirected
acupuncture_points,treatment_outcome,18,Undirected
migraine_therapy,triptans,29,Undirected
emergency_department,hypertension,3,Undirected
emergency_department,vascular,5,Undirected
acute_therapy,quality_life,2,Undirected
drug_therapy,inflammatory,12,Undirected
drug_therapy,migraine_therapy,19,Undirected
drug_therapy,triptans,13,Undirected
inflammatory,triptans,29,Undirected
combined_modality_therapy,manual_therapy,2,Undirected
combined_modality_therapy,quality_life,10,Undirected
manual_therapy,physical_therapy_modalities,3,Undirected
chronic_pain,posttraumatic_stress_disorder,2,Undirected
chronic_pain,ptsd,2,Undirected
chronic_pain,stress_disorders,2,Undirected
comorbidity,posttraumatic_stress_disorder,4,Undirected
parkinson,ptsd,3,Undirected
parkinson,stress,2,Undirected
parkinson,stress_disorders,2,Undirected
posttraumatic_stress_disorder,ptsd,4,Undirected
posttraumatic_stress_disorder,stress,4,Undirected
posttraumatic_stress_disorder,stress_disorders,3,Undirected
chronic_pain,headache_days,4,Undirected
chronic_pain,sleep_quality,2,Undirected
disability,life_quality,2,Undirected
disability,sleep_quality,4,Undirected
headache_days,sleep_quality,2,Undirected
life_quality,quality_life,3,Undirected
quality_life,sleep_quality,6,Undirected
comorbidity,panic_disorder,6,Undirected
economic_burden,migraine_therapy,3,Undirected
economic_burden,quality_life,26,Undirected
economic_burden,therapy,4,Undirected
economic_burden,triptans,2,Undirected
therapy,triptans,8,Undirected
calcitonin_gene_related,monthly_migraine_days,26,Undirected
calcitonin_gene_related_peptid,monthly_migraine_days,8,Undirected
diet,dietary_approaches_stop_hypert,5,Undirected
diet,hypertension,9,Undirected
dietary_approaches_stop_hypert,hypertension,4,Undirected
dietary_approaches_stop_hypert,migraine_therapy,2,Undirected
dietary_approaches_stop_hypert,quality_life,2,Undirected
hypertension,migraine_therapy,5,Undirected
hypertension,quality_life,7,Undirected
comorbidity,ischemic_stroke,5,Undirected
comorbidity,stroke_risk,2,Undirected
ischemic_stroke,stroke,26,Undirected
ischemic_stroke,stroke_risk,2,Undirected
stroke,stroke_risk,17,Undirected
depression,sleep_quality,7,Undirected
fibromyalgia,medication_overuse_headache,2,Undirected
biofeedback,mindfulness,5,Undirected
biofeedback,self_management,3,Undirected
cognitive_behavioral_therapy,disability,10,Undirected
cognitive_behavioral_therapy,psychotherapy,2,Undirected
cognitive_behavioral_therapy,self_management,2,Undirected
disability,mindfulness,16,Undirected
disability,self_management,4,Undirected
mindfulness,psychotherapy,2,Undirected
mindfulness,quality_life,12,Undirected
mindfulness,self_management,2,Undirected
quality_life,self_management,6,Undirected
disability_evaluation,treatment_outcome,17,Undirected
aerobic_exercise,exercise,8,Undirected
aerobic_exercise,quality_life,2,Undirected
exercise,headache_days,4,Undirected
disability_evaluation,headache_days,9,Undirected
disability,migraine_disability,2,Undirected
migraine_disability,quality_life,2,Undirected
migraine_disability,treatment_outcome,3,Undirected
cerebrovascular_disease,stroke,7,Undirected
cerebrovascular_disease,vascular,4,Undirected
hypertension,sleep_apnea,3,Undirected
anxiety,bipolar_disorder,3,Undirected
anxiety,panic_disorder,4,Undirected
bipolar,bipolar_disorder,8,Undirected
bipolar_disorder,comorbidity,7,Undirected
allergic_rhinitis,asthma,6,Undirected
allergic_rhinitis,quality_life,2,Undirected
asthma,disability,3,Undirected
asthma,quality_life,2,Undirected
epilepsy,transcranial_magnetic_stimulat,3,Undirected
quality_life,transcranial_magnetic_stimulat,2,Undirected
transcranial_magnetic,transcranial_magnetic_stimulat,51,Undirected
transcranial_magnetic_stimulat,trigeminal,7,Undirected
anxiety,therapy,6,Undirected
fibromyalgia,migraine_therapy,2,Undirected
fibromyalgia,treatment_outcome,3,Undirected
cost_illness,health_care_costs,4,Undirected
cost_illness,hospitalization,5,Undirected
cost_illness,work_productivity,14,Undirected
disability,health_care_costs,3,Undirected
disability,hospitalization,9,Undirected
disability,work_productivity,14,Undirected
headache_days,health_care_costs,3,Undirected
headache_days,hospitalization,5,Undirected
headache_days,work_productivity,9,Undirected
health_care_costs,quality_life,4,Undirected
health_care_costs,work_productivity,3,Undirected
hospitalization,work_productivity,4,Undirected
comorbidity,drug_therapy,2,Undirected
drug_therapy,hypertension,4,Undirected
acute_treatment,electric_stimulation_therapy,3,Undirected
acute_treatment,medication_overuse_headache,2,Undirected
acute_treatment,moh,2,Undirected
acute_treatment,neuromodulation,3,Undirected
acute_treatment,quality_life,4,Undirected
acute_treatment,remote_electrical_neuromodulat,2,Undirected
acute_treatment,treatment_outcome,7,Undirected
electric_stimulation_therapy,medication_overuse_headache,2,Undirected
electric_stimulation_therapy,moh,2,Undirected
electric_stimulation_therapy,remote_electrical_neuromodulat,2,Undirected
electric_stimulation_therapy,treatment_outcome,17,Undirected
medication_overuse_headache,neuromodulation,5,Undirected
medication_overuse_headache,remote_electrical_neuromodulat,3,Undirected
migraine_treatment,neuromodulation,2,Undirected
moh,neuromodulation,4,Undirected
remote_electrical_neuromodulat,treatment_outcome,9,Undirected
anxiety,anxiety_disorders,13,Undirected
anxiety_disorders,depression,11,Undirected
chronic_pain,migraine_therapy,6,Undirected
chronic_pain,pain_management,8,Undirected
headache_days,pain_management,9,Undirected
hospitalization,migraine_therapy,4,Undirected
hospitalization,pain_management,2,Undirected
migraine_therapy,pain_management,13,Undirected
mindfulness,vascular,2,Undirected
fibromyalgia,quality,2,Undirected
anxiety,moh,9,Undirected
depression,moh,11,Undirected
tension_type_headache,tth,4,Undirected
botulinum,calcitonin_gene_related_peptid,2,Undirected
botulinum,erenumab,7,Undirected
botulinum,migraine_therapy,23,Undirected
botulinum,occipital_nerve,6,Undirected
botulinum,onabotulinumtoxina,34,Undirected
botulinum,triptans,7,Undirected
botulinum_toxins,erenumab,5,Undirected
botulinum_toxins,migraine_therapy,28,Undirected
botulinum_toxins,occipital_nerve,2,Undirected
botulinum_toxins,onabotulinumtoxina,35,Undirected
botulinum_toxins,triptans,4,Undirected
calcitonin_gene_related_peptid,disability,8,Undirected
calcitonin_gene_related_peptid,erenumab,24,Undirected
calcitonin_gene_related_peptid,migraine_therapy,8,Undirected
calcitonin_gene_related_peptid,onabotulinumtoxina,3,Undirected
calcitonin_gene_related_peptid,quality_life,13,Undirected
calcitonin_gene_related_peptid,treatment_outcome,18,Undirected
calcitonin_gene_related_peptid,triptans,6,Undirected
disability,migraine_therapy,62,Undirected
disability,onabotulinumtoxina,14,Undirected
erenumab,onabotulinumtoxina,7,Undirected
erenumab,triptans,5,Undirected
migraine_therapy,occipital_nerve,3,Undirected
migraine_therapy,onabotulinumtoxina,12,Undirected
occipital_nerve,treatment_outcome,36,Undirected
occipital_nerve,triptans,3,Undirected
onabotulinumtoxina,quality_life,21,Undirected
onabotulinumtoxina,treatment_outcome,25,Undirected
onabotulinumtoxina,triptans,2,Undirected
treatment_outcome,triptans,25,Undirected
central_sensitization,menstrual,2,Undirected
comorbidity,menstrual,6,Undirected
migraine_therapy,trigeminal,12,Undirected
anxiety,irritable_bowel_syndrome,3,Undirected
depression,irritable_bowel_syndrome,3,Undirected
absenteeism,anxiety,5,Undirected
absenteeism,comorbidity,2,Undirected
absenteeism,depression,5,Undirected
anxiety,disease_burden,2,Undirected
anxiety,prophylactic_treatment,2,Undirected
comorbidity,disease_burden,2,Undirected
comorbidity,prophylactic_treatment,2,Undirected
cost_illness,disease_burden,3,Undirected
cost_illness,prophylactic_treatment,2,Undirected
depression,disease_burden,4,Undirected
depression,prophylactic_treatment,2,Undirected
calcitonin_gene_related,calcitonin_gene_related_peptid,18,Undirected
calcitonin_gene_related_peptid,monoclonal_antibodies,10,Undirected
calcitonin_gene_related_peptid,quality_life,6,Undirected
cost_illness,monoclonal_antibodies,2,Undirected
monoclonal_antibodies,quality_life,43,Undirected
acupuncture,disability,15,Undirected
acupuncture_points,disability,3,Undirected
anti_inflammatory_agents,anxiety,3,Undirected
anti_inflammatory_agents,depression,5,Undirected
comorbidity,parkinson_disease,2,Undirected
parkinson,parkinson_disease,3,Undirected
comorbidity,neurogenic_inflammation,2,Undirected
cortical_spreading_depression,diet,2,Undirected
cortical_spreading_depression,neurogenic_inflammation,3,Undirected
cortical_spreading_depression,stress,2,Undirected
depression,neurogenic_inflammation,3,Undirected
diet,stress,16,Undirected
diet,vestibular,3,Undirected
diet,vestibular_migraine,2,Undirected
diet,weather,2,Undirected
neurogenic_inflammation,stress,2,Undirected
stress,vestibular,7,Undirected
stress,vestibular_migraine,6,Undirected
stress,weather,7,Undirected
daily_functioning,disability,4,Undirected
combined_modality_therapy,stress,6,Undirected
combined_modality_therapy,triptans,5,Undirected
medication_overuse_headache,triptans,10,Undirected
quality,sleep_deprivation,3,Undirected
quality,triptans,3,Undirected
sleep_deprivation,stress,4,Undirected
stress,triptans,3,Undirected
erenumab,health_related_quality_life,3,Undirected
health_related_quality_life,quality_life,20,Undirected
epilepsy,topiramate,2,Undirected
cerebrovascular,ischemic_stroke,2,Undirected
cerebrovascular,stroke,6,Undirected
ischemic_stroke,thrombolytic_therapy,2,Undirected
ischemic_stroke,treatment_outcome,2,Undirected
ischemic_stroke,vascular,13,Undirected
stroke,thrombolytic_therapy,6,Undirected
thrombolytic_therapy,treatment_outcome,6,Undirected
thrombolytic_therapy,vascular,3,Undirected
treatment_outcome,vascular,27,Undirected
depression,posttraumatic_stress_disorder,2,Undirected
asthma,hypertension,7,Undirected
bipolar,hypertension,4,Undirected
manual_therapy,treatment_outcome,3,Undirected
acupuncture,acupuncture_therapy,83,Undirected
acupuncture,chronic_pain,3,Undirected
acupuncture_therapy,chronic_pain,3,Undirected
disability,manual_therapy,7,Undirected
calcitonin_gene_related,health_related_quality_life,4,Undirected
calcitonin_gene_related_peptid,monoclonal_antibodies,47,Undirected
calcitonin_gene_related_peptid,monthly_migraine_days,12,Undirected
disability,health_related_quality_life,10,Undirected
erenumab,monthly_migraine_days,23,Undirected
galcanezumab,monthly_migraine_days,10,Undirected
health_related_quality_life,monthly_migraine_days,2,Undirected
health_related_quality_life,treatment_outcome,5,Undirected
monoclonal_antibodies,monthly_migraine_days,16,Undirected
monoclonal_antibodies,treatment_outcome,29,Undirected
disability,moh,13,Undirected
medication_overuse_headache,vascular,3,Undirected
anxiety,central_sensitization,8,Undirected
central_sensitization,quality_life,9,Undirected
botulinum,headache_days,34,Undirected
botulinum_toxins,disability_evaluation,2,Undirected
botulinum_toxins,headache_days,31,Undirected
headache_days,onabotulinumtoxina,16,Undirected
cost_illness,mindfulness,2,Undirected
disability,disease_burden,4,Undirected
disease_burden,quality,2,Undirected
disease_burden,quality_life,4,Undirected
disease_burden,stress,2,Undirected
mindfulness,quality,2,Undirected
quality,social_stigma,2,Undirected
quality,stigma,4,Undirected
electric_stimulation_therapy,headache_days,3,Undirected
headache_days,nerve_stimulation,14,Undirected
headache_days,occipital_nerve,12,Undirected
headache_days,occipital_nerve_stimulation,5,Undirected
occipital_nerve_stimulation,treatment_outcome,5,Undirected
disability,neuromodulation,23,Undirected
monthly_migraine_days,neuromodulation,7,Undirected
depression,rls,11,Undirected
quality_life,treatment_patterns,2,Undirected
disability,therapy,19,Undirected
medication_overuse,migraine_therapy,4,Undirected
migraine_therapy,stigma,3,Undirected
central_nervous_sensitization,central_sensitization,5,Undirected
central_nervous_sensitization,comorbidity,4,Undirected
calcitonin_gene_related,economic_burden,4,Undirected
calcitonin_gene_related,preventive_treatment,5,Undirected
calcitonin_gene_related,quality,2,Undirected
calcitonin_gene_related_peptid,economic_burden,3,Undirected
calcitonin_gene_related_peptid,preventive_treatment,3,Undirected
calcitonin_gene_related_peptid,preventive_treatment,2,Undirected
calcitonin_gene_related_peptid,quality,2,Undirected
calcitonin_gene_related_peptid,quality_life,9,Undirected
economic_burden,monoclonal_antibodies,6,Undirected
economic_burden,preventive_treatment,2,Undirected
economic_burden,quality,3,Undirected
monoclonal_antibodies,preventive_treatment,6,Undirected
monoclonal_antibodies,quality,2,Undirected
preventive_treatment,quality_life,8,Undirected
disability,pain_management,15,Undirected
electric_stimulation_therapy,pain_management,5,Undirected
electric_stimulation_therapy,stress,2,Undirected
headache_days,neuromodulation,16,Undirected
nerve_stimulation,pain_management,8,Undirected
nerve_stimulation,stress,2,Undirected
neuromodulation,pain_management,14,Undirected
neuromodulation,stress,3,Undirected
occipital_nerve,pain_management,9,Undirected
pain_management,stress,2,Undirected
neurogenic_inflammation,treatment_outcome,4,Undirected
neurogenic_inflammation,trigeminal,2,Undirected
comorbidity,health_related_quality_life,2,Undirected
disability_evaluation,health_related_quality_life,4,Undirected
headache_days,health_related_quality_life,7,Undirected
health_related_quality_life,hospitalization,3,Undirected
stigma,stigmatization,3,Undirected
topiramate,treatment,3,Undirected
disability,emergency_department,10,Undirected
emergency_department,headache_days,4,Undirected
emergency_department,quality_life,11,Undirected
emergency_department,treatment_outcome,22,Undirected
headache_days,relaxation,4,Undirected
anxiety_disorders,inflammatory,2,Undirected
anxiety_disorders,stroke,2,Undirected
cardiovascular,cardiovascular_diseases,2,Undirected
cardiovascular,chronic_pain,2,Undirected
cardiovascular,depression,2,Undirected
cardiovascular,hypertension,10,Undirected
cardiovascular_diseases,comorbidity,4,Undirected
cardiovascular_diseases,depression,2,Undirected
cardiovascular_diseases,hypertension,3,Undirected
cardiovascular_diseases,inflammatory,2,Undirected
cardiovascular_diseases,stroke,7,Undirected
cardiovascular_diseases,vascular,17,Undirected
chronic_pain,hypertension,2,Undirected
chronic_pain,inflammatory,5,Undirected
chronic_pain,stroke,3,Undirected
chronic_pain,vascular,5,Undirected
acupuncture_points,acupuncture_therapy,19,Undirected
anxiety_disorders,stress,3,Undirected
central_sensitization,headache_days,6,Undirected
cluster_headache,epilepsy,4,Undirected
hypertension,insomnia,2,Undirected
physical_therapy,vestibular,4,Undirected
physical_therapy,vestibular_migraine,3,Undirected
hospitalization,triptans,3,Undirected
hospitalization,vascular,2,Undirected
anxiety,dietary,2,Undirected
anxiety,sleep_quality,5,Undirected
depression,dietary,2,Undirected
dietary,migraine_therapy,2,Undirected
dietary,quality_life,5,Undirected
dietary,stress,3,Undirected
dietary,treatment_outcome,2,Undirected
migraine_therapy,sleep_quality,2,Undirected
migraine_therapy,stress,12,Undirected
sleep_quality,stress,4,Undirected
sleep_quality,treatment_outcome,3,Undirected
asthma,epilepsy,4,Undirected
asthma,stress,3,Undirected
depression,panic_disorder,2,Undirected
epilepsy,sleep_apnea,2,Undirected
acupuncture_therapy,headache_days,7,Undirected
anti_cgrp_monoclonal_antibodie,botulinum,3,Undirected
anti_cgrp_monoclonal_antibodie,botulinum_toxins,3,Undirected
anti_cgrp_monoclonal_antibodie,calcitonin_gene_related,4,Undirected
anti_cgrp_monoclonal_antibodie,disability,3,Undirected
anti_cgrp_monoclonal_antibodie,drug_therapy,3,Undirected
anti_cgrp_monoclonal_antibodie,erenumab,3,Undirected
anti_cgrp_monoclonal_antibodie,fremanezumab,2,Undirected
anti_cgrp_monoclonal_antibodie,headache_days,2,Undirected
anti_cgrp_monoclonal_antibodie,monoclonal_antibodies,3,Undirected
anti_cgrp_monoclonal_antibodie,onabotulinumtoxina,3,Undirected
anti_cgrp_monoclonal_antibodie,quality_life,3,Undirected
anti_cgrp_monoclonal_antibodie,treatment_outcome,5,Undirected
botulinum,drug_therapy,7,Undirected
botulinum,fremanezumab,3,Undirected
botulinum,monoclonal_antibodies,16,Undirected
botulinum_toxins,calcitonin_gene_related,12,Undirected
botulinum_toxins,drug_therapy,7,Undirected
botulinum_toxins,fremanezumab,4,Undirected
botulinum_toxins,monoclonal_antibodies,10,Undirected
calcitonin_gene_related,drug_therapy,14,Undirected
calcitonin_gene_related,onabotulinumtoxina,4,Undirected
disability,drug_therapy,6,Undirected
drug_therapy,erenumab,4,Undirected
drug_therapy,fremanezumab,4,Undirected
drug_therapy,headache_days,5,Undirected
drug_therapy,monoclonal_antibodies,5,Undirected
drug_therapy,onabotulinumtoxina,3,Undirected
fremanezumab,onabotulinumtoxina,4,Undirected
headache_days,monoclonal_antibodies,19,Undirected
monoclonal_antibodies,onabotulinumtoxina,4,Undirected
cerebrovascular,epilepsy,2,Undirected
cerebrovascular,hypertension,2,Undirected
epilepsy,hospitalization,3,Undirected
hospitalization,hypertension,2,Undirected
hospitalization,stroke,4,Undirected
hypertension,therapy,4,Undirected
therapy,vascular,9,Undirected
chronic_pain,triptans,2,Undirected
cost,healthcare_cost,2,Undirected
cost,triptans,2,Undirected
cost_illness,healthcare_cost,6,Undirected
healthcare_cost,triptans,2,Undirected
chronic_therapy,quality_life,2,Undirected
migraine_therapy,preventive_treatment,7,Undirected
anxiety,medication_overuse_headache,4,Undirected
comorbidity,medication_overuse_headache,3,Undirected
calcitonin_gene_related_peptid,cluster_headache,2,Undirected
calcitonin_gene_related_peptid,vagus_nerve_stimulation,2,Undirected
cluster_headache,cost_benefit,2,Undirected
cluster_headache,erenumab,5,Undirected
cost_benefit,erenumab,3,Undirected
cost_benefit,quality_life,10,Undirected
erenumab,vagus_nerve_stimulation,2,Undirected
combined_modality_therapy,treatment_outcome,12,Undirected
bipolar,epilepsy,6,Undirected
bipolar,stroke,4,Undirected
epilepsy,inflammatory,4,Undirected
epilepsy,vascular,9,Undirected
chronic_pain,tms,4,Undirected
chronic_pain,transcranial_magnetic,4,Undirected
comorbidity,tms,2,Undirected
depression,tms,8,Undirected
anxiety,preventive_treatment,5,Undirected
depression,preventive_treatment,4,Undirected
treatment_outcome,treatment_response,3,Undirected
calcitonin_gene_related_peptid,menstrual,2,Undirected
menstrual,menstrual_cycle,3,Undirected
epilepsy,valproate,4,Undirected
botulinum,medication_overuse_headache,9,Undirected
botulinum_toxins,medication_overuse_headache,6,Undirected
medication_overuse_headache,onabotulinumtoxina,5,Undirected
stress,tms,2,Undirected
stress,transcranial_magnetic,2,Undirected
stress,transcranial_magnetic_stimulat,2,Undirected
tms,transcranial_magnetic_stimulat,36,Undirected
neuromodulation,occipital_nerve_stimulation,6,Undirected
acupuncture,calcitonin_gene_related,7,Undirected
acupuncture,calcitonin_gene_related_peptid,5,Undirected
acupuncture,cerebral_blood_flow,2,Undirected
acupuncture_therapy,calcitonin_gene_related,3,Undirected
acupuncture_therapy,calcitonin_gene_related_peptid,3,Undirected
acupuncture_therapy,cerebral_blood_flow,2,Undirected
acupuncture_therapy,vascular,5,Undirected
cerebral_blood_flow,quality_life,2,Undirected
cerebral_blood_flow,vascular,3,Undirected
allergic_rhinitis,comorbidity,3,Undirected
anxiety,pain_management,7,Undirected
depression,pain_management,4,Undirected
lasmiditan,pain_management,3,Undirected
lasmiditan,treatment_outcome,10,Undirected
