Source,Target,Weight,Type,Source_Label,Target_Label
inflammatory,monoclonal_antibodies,4,Undirected,Inflammatory,Monoclonal Antibodies
anxiety,chronic_pain,13,Undirected,Anxiety,Chronic Pain
anxiety,fibromyalgia,16,Undirected,Anxiety,Fibromyalgia
chronic_pain,depression,12,Undirected,Chronic Pain,Depression
chronic_pain,stress,9,Undirected,Chronic Pain,Stress
fibromyalgia,stress,5,Undirected,Fibromyalgia,Stress
comorbidity,post_traumatic_stress_disorder,2,Undirected,Comorbidity,Post-Traumatic Stress Disorder
comorbidity,ptsd,8,Undirected,Comorbidity,Ptsd
depression,post_traumatic_stress_disorder,2,Undirected,Depression,Post-Traumatic Stress Disorder
depression,ptsd,7,Undirected,Depression,Ptsd
depression,stress_disorders,9,Undirected,Depression,Stress Disorders
post_traumatic_stress_disorder,stress,2,Undirected,Post-Traumatic Stress Disorder,Stress
post_traumatic_stress_disorder,stress_disorders,2,Undirected,Post-Traumatic Stress Disorder,Stress Disorders
ptsd,stress,9,Undirected,Ptsd,Stress
ptsd,stress_disorders,8,Undirected,Ptsd,Stress Disorders
stress,stress_disorders,12,Undirected,Stress,Stress Disorders
disability,electric_stimulation_therapy,7,Undirected,Disability,Electric Stimulation Therapy
disability,nerve_stimulation,11,Undirected,Disability,Nerve Stimulation
disability,occipital_nerve,14,Undirected,Disability,Occipital Nerve
disability,occipital_nerve_stimulation,4,Undirected,Disability,Occipital Nerve Stimulation
electric_stimulation_therapy,nerve_stimulation,18,Undirected,Electric Stimulation Therapy,Nerve Stimulation
electric_stimulation_therapy,occipital_nerve,13,Undirected,Electric Stimulation Therapy,Occipital Nerve
electric_stimulation_therapy,occipital_nerve_stimulation,7,Undirected,Electric Stimulation Therapy,Occipital Nerve Stimulation
nerve_stimulation,occipital_nerve_stimulation,8,Undirected,Nerve Stimulation,Occipital Nerve Stimulation
occipital_nerve,occipital_nerve_stimulation,11,Undirected,Occipital Nerve,Occipital Nerve Stimulation
occipital_nerve_stimulation,quality_life,4,Undirected,Occipital Nerve Stimulation,Quality Life
cardiovascular,stroke,18,Undirected,Cardiovascular,Stroke
absenteeism,cost_illness,13,Undirected,Absenteeism,Cost Illness
absenteeism,disability,13,Undirected,Absenteeism,Disability
absenteeism,headache_days,7,Undirected,Absenteeism,Headache Days
absenteeism,lasmiditan,2,Undirected,Absenteeism,Lasmiditan
absenteeism,quality_life,18,Undirected,Absenteeism,Quality Life
absenteeism,triptans,2,Undirected,Absenteeism,Triptans
cost_illness,headache_days,17,Undirected,Cost Illness,Headache Days
cost_illness,interictal_burden,2,Undirected,Cost Illness,Interictal Burden
cost_illness,triptans,3,Undirected,Cost Illness,Triptans
disability,interictal_burden,3,Undirected,Disability,Interictal Burden
disability,triptans,20,Undirected,Disability,Triptans
headache_days,interictal_burden,2,Undirected,Headache Days,Interictal Burden
headache_days,triptans,11,Undirected,Headache Days,Triptans
interictal_burden,quality_life,5,Undirected,Interictal Burden,Quality Life
lasmiditan,triptans,9,Undirected,Lasmiditan,Triptans
quality_life,triptans,29,Undirected,Quality Life,Triptans
topiramate,vestibular,3,Undirected,Topiramate,Vestibular
topiramate,vestibular_migraine,3,Undirected,Topiramate,Vestibular Migraine
exercise,vestibular,7,Undirected,Exercise,Vestibular
exercise,vestibular_migraine,6,Undirected,Exercise,Vestibular Migraine
exercise,vestibular_rehabilitation,2,Undirected,Exercise,Vestibular Rehabilitation
quality_life,vestibular_rehabilitation,2,Undirected,Quality Life,Vestibular Rehabilitation
vestibular,vestibular_rehabilitation,3,Undirected,Vestibular,Vestibular Rehabilitation
vestibular_migraine,vestibular_rehabilitation,3,Undirected,Vestibular Migraine,Vestibular Rehabilitation
comorbidity,emergency_department,6,Undirected,Comorbidity,Emergency Department
emergency_department,epilepsy,4,Undirected,Emergency Department,Epilepsy
quality_life,yoga,4,Undirected,Quality Life,Yoga
behavior_therapy,behavioral_therapy,2,Undirected,Behavior Therapy,Behavioral Therapy
behavior_therapy,combined_modality_therapy,4,Undirected,Behavior Therapy,Combined Modality Therapy
behavior_therapy,comorbidity,4,Undirected,Behavior Therapy,Comorbidity
behavior_therapy,medication_overuse_headache,2,Undirected,Behavior Therapy,Medication Overuse Headache
behavioral_therapy,combined_modality_therapy,2,Undirected,Behavioral Therapy,Combined Modality Therapy
combined_modality_therapy,medication_overuse_headache,4,Undirected,Combined Modality Therapy,Medication Overuse Headache
combined_modality_therapy,physiotherapy,2,Undirected,Combined Modality Therapy,Physiotherapy
circadian_rhythm,quality_life,2,Undirected,Circadian Rhythm,Quality Life
daily_functioning,quality_life,5,Undirected,Daily Functioning,Quality Life
insomnia,sleep_apnea,5,Undirected,Insomnia,Sleep Apnea
bipolar,disability,4,Undirected,Bipolar,Disability
insomnia,stress,7,Undirected,Insomnia,Stress
sleep_apnea,stress,4,Undirected,Sleep Apnea,Stress
calcitonin_gene_related_peptid,calcitonin_gene_related_peptid,10,Undirected,Calcitonin Gene-Related Peptide,Calcitonin Gene-Related Peptide Receptor
calcitonin_gene_related_peptid,gepants,16,Undirected,Calcitonin Gene-Related Peptide,Gepants
calcitonin_gene_related_peptid,gepants,9,Undirected,Calcitonin Gene-Related Peptide Receptor,Gepants
tension_type_headache,treatment,2,Undirected,Tension Type Headache,Treatment
ketogenic_diet,treatment_outcome,4,Undirected,Ketogenic Diet,Treatment Outcome
moh,quality_life,15,Undirected,Moh,Quality Life
anxiety,triptans,9,Undirected,Anxiety,Triptans
depression,triptans,13,Undirected,Depression,Triptans
epilepsy,hypertension,9,Undirected,Epilepsy,Hypertension
epilepsy,triptans,2,Undirected,Epilepsy,Triptans
absenteeism,burden,6,Undirected,Absenteeism,Burden
absenteeism,cost,2,Undirected,Absenteeism,Cost
burden,cost,3,Undirected,Burden,Cost
burden,cost_illness,11,Undirected,Burden,Cost Illness
burden,disability,9,Undirected,Burden,Disability
burden,quality,2,Undirected,Burden,Quality
burden,quality_life,18,Undirected,Burden,Quality Life
cost,cost_illness,3,Undirected,Cost,Cost Illness
cost,disability,2,Undirected,Cost,Disability
cost,quality_life,3,Undirected,Cost,Quality Life
cost_illness,disability_adjusted_life_years,2,Undirected,Cost Illness,Disability-Adjusted Life Years
cost_illness,quality,3,Undirected,Cost Illness,Quality
disability,disability_adjusted_life_years,3,Undirected,Disability,Disability-Adjusted Life Years
disability_adjusted_life_years,quality_life,2,Undirected,Disability-Adjusted Life Years,Quality Life
anti_inflammatory_agents,disability,5,Undirected,Anti-Inflammatory Agents,Disability
anti_inflammatory_agents,quality_life,7,Undirected,Anti-Inflammatory Agents,Quality Life
anti_inflammatory_agents,triptans,21,Undirected,Anti-Inflammatory Agents,Triptans
anxiety,parkinson,4,Undirected,Anxiety,Parkinson
anxiety,stroke,10,Undirected,Anxiety,Stroke
comorbidity,parkinson,7,Undirected,Comorbidity,Parkinson
parkinson,stroke,5,Undirected,Parkinson,Stroke
acupuncture,sham_acupuncture,5,Undirected,Acupuncture,Sham Acupuncture
anxiety,sham_acupuncture,2,Undirected,Anxiety,Sham Acupuncture
depression,sham_acupuncture,2,Undirected,Depression,Sham Acupuncture
comorbidity,sleep_quality,6,Undirected,Comorbidity,Sleep Quality
comorbidity,oxidative_stress,3,Undirected,Comorbidity,Oxidative Stress
oxidative_stress,stress,15,Undirected,Oxidative Stress,Stress
comorbidity,cytokines,2,Undirected,Comorbidity,Cytokines
comorbidity,inflammatory_bowel_diseases,2,Undirected,Comorbidity,Inflammatory Bowel Diseases
cytokines,depression,5,Undirected,Cytokines,Depression
cytokines,stress,3,Undirected,Cytokines,Stress
depression,inflammatory_bowel_diseases,3,Undirected,Depression,Inflammatory Bowel Diseases
inflammatory,inflammatory_bowel_diseases,3,Undirected,Inflammatory,Inflammatory Bowel Diseases
estrogen,estrogens,6,Undirected,Estrogen,Estrogens
estrogen,progesterone,3,Undirected,Estrogen,Progesterone
estrogens,hormonal,5,Undirected,Estrogens,Hormonal
estrogens,progesterone,2,Undirected,Estrogens,Progesterone
hormonal,progesterone,3,Undirected,Hormonal,Progesterone
pharmacotherapy,quality_life,2,Undirected,Pharmacotherapy,Quality Life
stress,vascular,21,Undirected,Stress,Vascular
asthma,fibromyalgia,2,Undirected,Asthma,Fibromyalgia
asthma,inflammatory,3,Undirected,Asthma,Inflammatory
bipolar,fibromyalgia,2,Undirected,Bipolar,Fibromyalgia
bipolar,inflammatory,2,Undirected,Bipolar,Inflammatory
comorbidity,quality,3,Undirected,Comorbidity,Quality
behavior_therapy,quality_life,4,Undirected,Behavior Therapy,Quality Life
burden,comorbidity,2,Undirected,Burden,Comorbidity
burden,headache_days,4,Undirected,Burden,Headache Days
anxiety,calcitonin_gene_related,8,Undirected,Anxiety,Calcitonin Gene-Related
anxiety,cost_illness,10,Undirected,Anxiety,Cost Illness
anxiety,interictal_burden,3,Undirected,Anxiety,Interictal Burden
calcitonin_gene_related,interictal_burden,2,Undirected,Calcitonin Gene-Related,Interictal Burden
anxiety,hospitalization,8,Undirected,Anxiety,Hospitalization
hospitalization,quality_life,10,Undirected,Hospitalization,Quality Life
hospitalization,stress,3,Undirected,Hospitalization,Stress
quality_life,tension_type_headache,8,Undirected,Quality Life,Tension Type Headache
relaxation,tension_type_headache,2,Undirected,Relaxation,Tension Type Headache
relaxation_therapy,stress,2,Undirected,Relaxation Therapy,Stress
stress,tension_type_headache,3,Undirected,Stress,Tension Type Headache
cost_illness,inflammatory,2,Undirected,Cost Illness,Inflammatory
cytokines,disability,2,Undirected,Cytokines,Disability
disability,epilepsy,11,Undirected,Disability,Epilepsy
epilepsy,headache_days,2,Undirected,Epilepsy,Headache Days
calcitonin_gene_related_peptid,treatment_outcome,31,Undirected,Calcitonin Gene-Related Peptide,Treatment Outcome
anxiety,stigma,9,Undirected,Anxiety,Stigma
comorbidity,stigma,4,Undirected,Comorbidity,Stigma
comorbidity,trigeminal_neuralgia,2,Undirected,Comorbidity,Trigeminal Neuralgia
trigeminal,trigeminal_neuralgia,5,Undirected,Trigeminal,Trigeminal Neuralgia
trigeminal,tth,3,Undirected,Trigeminal,Tth
cost_illness,depression,12,Undirected,Cost Illness,Depression
cost_illness,stress,3,Undirected,Cost Illness,Stress
exercise,insomnia,2,Undirected,Exercise,Insomnia
patent_foramen_ovale,quality_life,3,Undirected,Patent Foramen Ovale,Quality Life
patent_foramen_ovale,treatment_outcome,19,Undirected,Patent Foramen Ovale,Treatment Outcome
pfo_closure,quality_life,2,Undirected,Pfo Closure,Quality Life
pfo_closure,treatment_outcome,14,Undirected,Pfo Closure,Treatment Outcome
stroke,treatment_outcome,17,Undirected,Stroke,Treatment Outcome
disability,propranolol,8,Undirected,Disability,Propranolol
disability,vestibular,9,Undirected,Disability,Vestibular
disability,vestibular_diseases,2,Undirected,Disability,Vestibular Diseases
disability,vestibular_migraine,5,Undirected,Disability,Vestibular Migraine
propranolol,treatment_outcome,12,Undirected,Propranolol,Treatment Outcome
quality_life,vestibular_diseases,2,Undirected,Quality Life,Vestibular Diseases
treatment_outcome,vestibular,10,Undirected,Treatment Outcome,Vestibular
treatment_outcome,vestibular_migraine,8,Undirected,Treatment Outcome,Vestibular Migraine
vestibular,vestibular_diseases,8,Undirected,Vestibular,Vestibular Diseases
vestibular_diseases,vestibular_migraine,8,Undirected,Vestibular Diseases,Vestibular Migraine
behavior_therapy,treatment_outcome,4,Undirected,Behavior Therapy,Treatment Outcome
manual_therapy,quality_life,6,Undirected,Manual Therapy,Quality Life
botulinum,disability,25,Undirected,Botulinum,Disability
botulinum_toxins,disability,24,Undirected,Botulinum Toxins,Disability
disability,topiramate,13,Undirected,Disability,Topiramate
irritable_bowel,quality_life,3,Undirected,Irritable Bowel,Quality Life
irritable_bowel_syndrome,quality_life,2,Undirected,Irritable Bowel Syndrome,Quality Life
anxiety,topiramate,8,Undirected,Anxiety,Topiramate
anxiety,valproate,3,Undirected,Anxiety,Valproate
comorbidity,hospitalization,8,Undirected,Comorbidity,Hospitalization
comorbidity,topiramate,7,Undirected,Comorbidity,Topiramate
comorbidity,valproate,4,Undirected,Comorbidity,Valproate
depression,hospitalization,6,Undirected,Depression,Hospitalization
depression,topiramate,7,Undirected,Depression,Topiramate
depression,valproate,4,Undirected,Depression,Valproate
hospitalization,treatment_outcome,6,Undirected,Hospitalization,Treatment Outcome
hospitalization,valproate,2,Undirected,Hospitalization,Valproate
treatment_outcome,valproate,7,Undirected,Treatment Outcome,Valproate
alzheimer,comorbidity,3,Undirected,Alzheimer,Comorbidity
comorbidities,epilepsy,5,Undirected,Comorbidities,Epilepsy
cardiovascular,inflammatory,4,Undirected,Cardiovascular,Inflammatory
anxiety,social_stigma,4,Undirected,Anxiety,Social Stigma
depression,social_stigma,4,Undirected,Depression,Social Stigma
depression,stigma,7,Undirected,Depression,Stigma
epilepsy,stress,7,Undirected,Epilepsy,Stress
social_stigma,stress,3,Undirected,Social Stigma,Stress
stigma,stress,3,Undirected,Stigma,Stress
epilepsy,trigeminal,4,Undirected,Epilepsy,Trigeminal
epilepsy,tth,2,Undirected,Epilepsy,Tth
acupuncture,headache_days,13,Undirected,Acupuncture,Headache Days
acupuncture,vascular,8,Undirected,Acupuncture,Vascular
headache_days,vascular,5,Undirected,Headache Days,Vascular
anxiety,headache_related_disability,2,Undirected,Anxiety,Headache-Related Disability
anxiety,ptsd,6,Undirected,Anxiety,Ptsd
anxiety,stress_disorders,6,Undirected,Anxiety,Stress Disorders
depression,headache_related_disability,3,Undirected,Depression,Headache-Related Disability
disability,ptsd,3,Undirected,Disability,Ptsd
disability,stress_disorders,3,Undirected,Disability,Stress Disorders
disability_evaluation,headache_related_disability,4,Undirected,Disability Evaluation,Headache-Related Disability
headache_related_disability,stress,3,Undirected,Headache-Related Disability,Stress
acupuncture,acupuncture_points,35,Undirected,Acupuncture,Acupuncture Points
acupuncture_points,quality_life,7,Undirected,Acupuncture Points,Quality Life
acupuncture_points,treatment_outcome,18,Undirected,Acupuncture Points,Treatment Outcome
migraine_therapy,triptans,29,Undirected,Migraine Therapy,Triptans
emergency_department,hypertension,3,Undirected,Emergency Department,Hypertension
emergency_department,vascular,5,Undirected,Emergency Department,Vascular
acute_therapy,quality_life,2,Undirected,Acute Therapy,Quality Life
drug_therapy,inflammatory,12,Undirected,Drug Therapy,Inflammatory
drug_therapy,migraine_therapy,19,Undirected,Drug Therapy,Migraine Therapy
drug_therapy,triptans,13,Undirected,Drug Therapy,Triptans
inflammatory,triptans,29,Undirected,Inflammatory,Triptans
combined_modality_therapy,manual_therapy,2,Undirected,Combined Modality Therapy,Manual Therapy
combined_modality_therapy,quality_life,10,Undirected,Combined Modality Therapy,Quality Life
manual_therapy,physical_therapy_modalities,3,Undirected,Manual Therapy,Physical Therapy Modalities
chronic_pain,posttraumatic_stress_disorder,2,Undirected,Chronic Pain,Posttraumatic Stress Disorder
chronic_pain,ptsd,2,Undirected,Chronic Pain,Ptsd
chronic_pain,stress_disorders,2,Undirected,Chronic Pain,Stress Disorders
comorbidity,posttraumatic_stress_disorder,4,Undirected,Comorbidity,Posttraumatic Stress Disorder
parkinson,ptsd,3,Undirected,Parkinson,Ptsd
parkinson,stress,2,Undirected,Parkinson,Stress
parkinson,stress_disorders,2,Undirected,Parkinson,Stress Disorders
posttraumatic_stress_disorder,ptsd,4,Undirected,Posttraumatic Stress Disorder,Ptsd
posttraumatic_stress_disorder,stress,4,Undirected,Posttraumatic Stress Disorder,Stress
posttraumatic_stress_disorder,stress_disorders,3,Undirected,Posttraumatic Stress Disorder,Stress Disorders
chronic_pain,headache_days,4,Undirected,Chronic Pain,Headache Days
chronic_pain,sleep_quality,2,Undirected,Chronic Pain,Sleep Quality
disability,life_quality,2,Undirected,Disability,Life Quality
disability,sleep_quality,4,Undirected,Disability,Sleep Quality
headache_days,sleep_quality,2,Undirected,Headache Days,Sleep Quality
life_quality,quality_life,3,Undirected,Life Quality,Quality Life
quality_life,sleep_quality,6,Undirected,Quality Life,Sleep Quality
comorbidity,panic_disorder,6,Undirected,Comorbidity,Panic Disorder
economic_burden,migraine_therapy,3,Undirected,Economic Burden,Migraine Therapy
economic_burden,quality_life,26,Undirected,Economic Burden,Quality Life
economic_burden,therapy,4,Undirected,Economic Burden,Therapy
economic_burden,triptans,2,Undirected,Economic Burden,Triptans
therapy,triptans,8,Undirected,Therapy,Triptans
calcitonin_gene_related,monthly_migraine_days,26,Undirected,Calcitonin Gene-Related,Monthly Migraine Days
calcitonin_gene_related_peptid,monthly_migraine_days,8,Undirected,Calcitonin Gene-Related Peptide Receptor Use,Monthly Migraine Days
diet,dietary_approaches_stop_hypert,5,Undirected,Diet,Dietary Approaches Stop Hypertension
diet,hypertension,9,Undirected,Diet,Hypertension
dietary_approaches_stop_hypert,hypertension,4,Undirected,Dietary Approaches Stop Hypertension,Hypertension
dietary_approaches_stop_hypert,migraine_therapy,2,Undirected,Dietary Approaches Stop Hypertension,Migraine Therapy
dietary_approaches_stop_hypert,quality_life,2,Undirected,Dietary Approaches Stop Hypertension,Quality Life
hypertension,migraine_therapy,5,Undirected,Hypertension,Migraine Therapy
hypertension,quality_life,7,Undirected,Hypertension,Quality Life
comorbidity,ischemic_stroke,5,Undirected,Comorbidity,Ischemic Stroke
comorbidity,stroke_risk,2,Undirected,Comorbidity,Stroke Risk
ischemic_stroke,stroke,26,Undirected,Ischemic Stroke,Stroke
ischemic_stroke,stroke_risk,2,Undirected,Ischemic Stroke,Stroke Risk
stroke,stroke_risk,17,Undirected,Stroke,Stroke Risk
depression,sleep_quality,7,Undirected,Depression,Sleep Quality
fibromyalgia,medication_overuse_headache,2,Undirected,Fibromyalgia,Medication Overuse Headache
biofeedback,mindfulness,5,Undirected,Biofeedback,Mindfulness
biofeedback,self_management,3,Undirected,Biofeedback,Self-Management
cognitive_behavioral_therapy,disability,10,Undirected,Cognitive Behavioral Therapy,Disability
cognitive_behavioral_therapy,psychotherapy,2,Undirected,Cognitive Behavioral Therapy,Psychotherapy
cognitive_behavioral_therapy,self_management,2,Undirected,Cognitive Behavioral Therapy,Self-Management
disability,mindfulness,16,Undirected,Disability,Mindfulness
disability,self_management,4,Undirected,Disability,Self-Management
mindfulness,psychotherapy,2,Undirected,Mindfulness,Psychotherapy
mindfulness,quality_life,12,Undirected,Mindfulness,Quality Life
mindfulness,self_management,2,Undirected,Mindfulness,Self-Management
quality_life,self_management,6,Undirected,Quality Life,Self-Management
disability_evaluation,treatment_outcome,17,Undirected,Disability Evaluation,Treatment Outcome
aerobic_exercise,exercise,8,Undirected,Aerobic Exercise,Exercise
aerobic_exercise,quality_life,2,Undirected,Aerobic Exercise,Quality Life
exercise,headache_days,4,Undirected,Exercise,Headache Days
disability_evaluation,headache_days,9,Undirected,Disability Evaluation,Headache Days
disability,migraine_disability,2,Undirected,Disability,Migraine Disability
migraine_disability,quality_life,2,Undirected,Migraine Disability,Quality Life
migraine_disability,treatment_outcome,3,Undirected,Migraine Disability,Treatment Outcome
cerebrovascular_disease,stroke,7,Undirected,Cerebrovascular Disease,Stroke
cerebrovascular_disease,vascular,4,Undirected,Cerebrovascular Disease,Vascular
hypertension,sleep_apnea,3,Undirected,Hypertension,Sleep Apnea
anxiety,bipolar_disorder,3,Undirected,Anxiety,Bipolar Disorder
anxiety,panic_disorder,4,Undirected,Anxiety,Panic Disorder
bipolar,bipolar_disorder,8,Undirected,Bipolar,Bipolar Disorder
bipolar_disorder,comorbidity,7,Undirected,Bipolar Disorder,Comorbidity
allergic_rhinitis,asthma,6,Undirected,Allergic Rhinitis,Asthma
allergic_rhinitis,quality_life,2,Undirected,Allergic Rhinitis,Quality Life
asthma,disability,3,Undirected,Asthma,Disability
asthma,quality_life,2,Undirected,Asthma,Quality Life
epilepsy,transcranial_magnetic_stimulat,3,Undirected,Epilepsy,Transcranial Magnetic Stimulation
quality_life,transcranial_magnetic_stimulat,2,Undirected,Quality Life,Transcranial Magnetic Stimulation
transcranial_magnetic,transcranial_magnetic_stimulat,51,Undirected,Transcranial Magnetic,Transcranial Magnetic Stimulation
transcranial_magnetic_stimulat,trigeminal,7,Undirected,Transcranial Magnetic Stimulation,Trigeminal
anxiety,therapy,6,Undirected,Anxiety,Therapy
fibromyalgia,migraine_therapy,2,Undirected,Fibromyalgia,Migraine Therapy
fibromyalgia,treatment_outcome,3,Undirected,Fibromyalgia,Treatment Outcome
cost_illness,health_care_costs,4,Undirected,Cost Illness,Health Care Costs
cost_illness,hospitalization,5,Undirected,Cost Illness,Hospitalization
cost_illness,work_productivity,14,Undirected,Cost Illness,Work Productivity
disability,health_care_costs,3,Undirected,Disability,Health Care Costs
disability,hospitalization,9,Undirected,Disability,Hospitalization
disability,work_productivity,14,Undirected,Disability,Work Productivity
headache_days,health_care_costs,3,Undirected,Headache Days,Health Care Costs
headache_days,hospitalization,5,Undirected,Headache Days,Hospitalization
headache_days,work_productivity,9,Undirected,Headache Days,Work Productivity
health_care_costs,quality_life,4,Undirected,Health Care Costs,Quality Life
health_care_costs,work_productivity,3,Undirected,Health Care Costs,Work Productivity
hospitalization,work_productivity,4,Undirected,Hospitalization,Work Productivity
comorbidity,drug_therapy,2,Undirected,Comorbidity,Drug Therapy
drug_therapy,hypertension,4,Undirected,Drug Therapy,Hypertension
acute_treatment,electric_stimulation_therapy,3,Undirected,Acute Treatment,Electric Stimulation Therapy
acute_treatment,medication_overuse_headache,2,Undirected,Acute Treatment,Medication Overuse Headache
acute_treatment,moh,2,Undirected,Acute Treatment,Moh
acute_treatment,neuromodulation,3,Undirected,Acute Treatment,Neuromodulation
acute_treatment,quality_life,4,Undirected,Acute Treatment,Quality Life
acute_treatment,remote_electrical_neuromodulat,2,Undirected,Acute Treatment,Remote Electrical Neuromodulation
acute_treatment,treatment_outcome,7,Undirected,Acute Treatment,Treatment Outcome
electric_stimulation_therapy,medication_overuse_headache,2,Undirected,Electric Stimulation Therapy,Medication Overuse Headache
electric_stimulation_therapy,moh,2,Undirected,Electric Stimulation Therapy,Moh
electric_stimulation_therapy,remote_electrical_neuromodulat,2,Undirected,Electric Stimulation Therapy,Remote Electrical Neuromodulation
electric_stimulation_therapy,treatment_outcome,17,Undirected,Electric Stimulation Therapy,Treatment Outcome
medication_overuse_headache,neuromodulation,5,Undirected,Medication Overuse Headache,Neuromodulation
medication_overuse_headache,remote_electrical_neuromodulat,3,Undirected,Medication Overuse Headache,Remote Electrical Neuromodulation
migraine_treatment,neuromodulation,2,Undirected,Migraine Treatment,Neuromodulation
moh,neuromodulation,4,Undirected,Moh,Neuromodulation
remote_electrical_neuromodulat,treatment_outcome,9,Undirected,Remote Electrical Neuromodulation,Treatment Outcome
anxiety,anxiety_disorders,13,Undirected,Anxiety,Anxiety Disorders
anxiety_disorders,depression,11,Undirected,Anxiety Disorders,Depression
chronic_pain,migraine_therapy,6,Undirected,Chronic Pain,Migraine Therapy
chronic_pain,pain_management,8,Undirected,Chronic Pain,Pain Management
headache_days,pain_management,9,Undirected,Headache Days,Pain Management
hospitalization,migraine_therapy,4,Undirected,Hospitalization,Migraine Therapy
hospitalization,pain_management,2,Undirected,Hospitalization,Pain Management
migraine_therapy,pain_management,13,Undirected,Migraine Therapy,Pain Management
mindfulness,vascular,2,Undirected,Mindfulness,Vascular
fibromyalgia,quality,2,Undirected,Fibromyalgia,Quality
anxiety,moh,9,Undirected,Anxiety,Moh
depression,moh,11,Undirected,Depression,Moh
tension_type_headache,tth,4,Undirected,Tension Type Headache,Tth
botulinum,calcitonin_gene_related_peptid,2,Undirected,Botulinum,Calcitonin Gene-Related Peptide Receptor Antagonists
botulinum,erenumab,7,Undirected,Botulinum,Erenumab
botulinum,migraine_therapy,23,Undirected,Botulinum,Migraine Therapy
botulinum,occipital_nerve,6,Undirected,Botulinum,Occipital Nerve
botulinum,onabotulinumtoxina,34,Undirected,Botulinum,Onabotulinumtoxina
botulinum,triptans,7,Undirected,Botulinum,Triptans
botulinum_toxins,erenumab,5,Undirected,Botulinum Toxins,Erenumab
botulinum_toxins,migraine_therapy,28,Undirected,Botulinum Toxins,Migraine Therapy
botulinum_toxins,occipital_nerve,2,Undirected,Botulinum Toxins,Occipital Nerve
botulinum_toxins,onabotulinumtoxina,35,Undirected,Botulinum Toxins,Onabotulinumtoxina
botulinum_toxins,triptans,4,Undirected,Botulinum Toxins,Triptans
calcitonin_gene_related_peptid,disability,8,Undirected,Calcitonin Gene-Related Peptide Receptor Antagonists,Disability
calcitonin_gene_related_peptid,erenumab,24,Undirected,Calcitonin Gene-Related Peptide Receptor Antagonists,Erenumab
calcitonin_gene_related_peptid,migraine_therapy,8,Undirected,Calcitonin Gene-Related Peptide Receptor Antagonists,Migraine Therapy
calcitonin_gene_related_peptid,onabotulinumtoxina,3,Undirected,Calcitonin Gene-Related Peptide Receptor Antagonists,Onabotulinumtoxina
calcitonin_gene_related_peptid,quality_life,13,Undirected,Calcitonin Gene-Related Peptide Receptor Antagonists,Quality Life
calcitonin_gene_related_peptid,treatment_outcome,18,Undirected,Calcitonin Gene-Related Peptide Receptor Antagonists,Treatment Outcome
calcitonin_gene_related_peptid,triptans,6,Undirected,Calcitonin Gene-Related Peptide Receptor Antagonists,Triptans
disability,migraine_therapy,62,Undirected,Disability,Migraine Therapy
disability,onabotulinumtoxina,14,Undirected,Disability,Onabotulinumtoxina
erenumab,onabotulinumtoxina,7,Undirected,Erenumab,Onabotulinumtoxina
erenumab,triptans,5,Undirected,Erenumab,Triptans
migraine_therapy,occipital_nerve,3,Undirected,Migraine Therapy,Occipital Nerve
migraine_therapy,onabotulinumtoxina,12,Undirected,Migraine Therapy,Onabotulinumtoxina
occipital_nerve,treatment_outcome,36,Undirected,Occipital Nerve,Treatment Outcome
occipital_nerve,triptans,3,Undirected,Occipital Nerve,Triptans
onabotulinumtoxina,quality_life,21,Undirected,Onabotulinumtoxina,Quality Life
onabotulinumtoxina,treatment_outcome,25,Undirected,Onabotulinumtoxina,Treatment Outcome
onabotulinumtoxina,triptans,2,Undirected,Onabotulinumtoxina,Triptans
treatment_outcome,triptans,25,Undirected,Treatment Outcome,Triptans
central_sensitization,menstrual,2,Undirected,Central Sensitization,Menstrual
comorbidity,menstrual,6,Undirected,Comorbidity,Menstrual
migraine_therapy,trigeminal,12,Undirected,Migraine Therapy,Trigeminal
anxiety,irritable_bowel_syndrome,3,Undirected,Anxiety,Irritable Bowel Syndrome
depression,irritable_bowel_syndrome,3,Undirected,Depression,Irritable Bowel Syndrome
absenteeism,anxiety,5,Undirected,Absenteeism,Anxiety
absenteeism,comorbidity,2,Undirected,Absenteeism,Comorbidity
absenteeism,depression,5,Undirected,Absenteeism,Depression
anxiety,disease_burden,2,Undirected,Anxiety,Disease Burden
anxiety,prophylactic_treatment,2,Undirected,Anxiety,Prophylactic Treatment
comorbidity,disease_burden,2,Undirected,Comorbidity,Disease Burden
comorbidity,prophylactic_treatment,2,Undirected,Comorbidity,Prophylactic Treatment
cost_illness,disease_burden,3,Undirected,Cost Illness,Disease Burden
cost_illness,prophylactic_treatment,2,Undirected,Cost Illness,Prophylactic Treatment
depression,disease_burden,4,Undirected,Depression,Disease Burden
depression,prophylactic_treatment,2,Undirected,Depression,Prophylactic Treatment
calcitonin_gene_related,calcitonin_gene_related_peptid,18,Undirected,Calcitonin Gene-Related,Calcitonin Gene-Related Peptide Receptor Dosage
calcitonin_gene_related_peptid,monoclonal_antibodies,10,Undirected,Calcitonin Gene-Related Peptide Receptor Dosage,Monoclonal Antibodies
calcitonin_gene_related_peptid,quality_life,6,Undirected,Calcitonin Gene-Related Peptide Receptor Dosage,Quality Life
cost_illness,monoclonal_antibodies,2,Undirected,Cost Illness,Monoclonal Antibodies
monoclonal_antibodies,quality_life,43,Undirected,Monoclonal Antibodies,Quality Life
acupuncture,disability,15,Undirected,Acupuncture,Disability
